"","Date","Open","High","Low","Close","Volume","Ex-Dividend","Split Ratio","Adj. Open","Adj. High","Adj. Low","Adj. Close","Adj. Volume"
"149",2014-11-26,541.47,541.55,537.042,540.37,1517646,0,1,541.47,541.55,537.042,540.37,1517646
"150",2014-11-25,539,543.98,538.602,541.08,1784967,0,1,539,543.98,538.602,541.08,1784967
"151",2014-11-24,537.65,542.7,535.62,539.27,1699629,0,1,537.65,542.7,535.62,539.27,1699629
"152",2014-11-21,541.61,542.14,536.56,537.5,2217252,0,1,541.61,542.14,536.56,537.5,2217252
"153",2014-11-20,531.25,535.11,531.08,534.83,1556880,0,1,531.25,535.11,531.08,534.83,1556880
"154",2014-11-19,535,538.24,530.08,536.99,1381926,0,1,535,538.24,530.08,536.99,1381926
"155",2014-11-18,537.5,541.94,534.17,535.03,1949605,0,1,537.5,541.94,534.17,535.03,1949605
"156",2014-11-17,543.58,543.79,534.061,536.51,1720123,0,1,543.58,543.79,534.061,536.51,1720123
"157",2014-11-14,546.68,546.68,542.15,544.4,1284981,0,1,546.68,546.68,542.15,544.4,1284981
"158",2014-11-13,549.8,549.8,543.48,545.38,1334367,0,1,549.8,549.8,543.48,545.38,1334367
"159",2014-11-12,550.39,550.46,545.17,547.31,1124171,0,1,550.39,550.46,545.17,547.31,1124171
"160",2014-11-11,548.49,551.9399,546.3,550.29,961011,0,1,548.49,551.9399,546.3,550.29,961011
"161",2014-11-10,541.46,549.59,541.02,547.49,1129377,0,1,541.46,549.59,541.02,547.49,1129377
"162",2014-11-07,546.21,546.21,538.67,541.01,1626675,0,1,546.21,546.21,538.67,541.01,1626675
"163",2014-11-06,545.67,546.885,540.97,542.04,1325658,0,1,545.67,546.885,540.97,542.04,1325658
"164",2014-11-04,553,555.5,549.3,554.11,1235838,0,1,553,555.5,549.3,554.11,1235838
"165",2014-11-03,553.87,557.9,553.23,555.22,1366953,0,1,553.87,557.9,553.23,555.22,1366953
"166",2014-10-31,559.57,559.57,554.75,559.08,2024442,0,1,559.57,559.57,554.75,559.08,2024442
"167",2014-10-30,548.95,552.8,543.51,550.31,1451521,0,1,548.95,552.8,543.51,550.31,1451521
"168",2014-10-29,550,554.19,546.98,549.33,1759310,0,1,550,554.19,546.98,549.33,1759310
"169",2014-10-28,543,548.98,541.62,548.9,1245545,0,1,543,548.98,541.62,548.9,1245545
"170",2014-10-27,537.03,544.41,537.03,540.77,1180275,0,1,537.03,544.41,537.03,540.77,1180275
"171",2014-10-24,544.05,544.88,535.79,539.78,1964626,0,1,544.05,544.88,535.79,539.78,1964626
"172",2014-10-23,539.32,547.22,535.85,543.98,2336044,0,1,539.32,547.22,535.85,543.98,2336044
"173",2014-10-22,529.89,539.8,528.8,532.71,2911235,0,1,529.89,539.8,528.8,532.71,2911235
"174",2014-10-21,525.19,526.79,519.11,526.54,2329510,0,1,525.19,526.79,519.11,526.54,2329510
"175",2014-10-20,508.63,521.76,508.1,520.84,2593431,0,1,508.63,521.76,508.1,520.84,2593431
"176",2014-10-17,526.53,530.98,508.53,511.17,5512913,0,1,526.53,530.98,508.53,511.17,5512913
"177",2014-10-16,519,529.43,515,524.51,3557099,0,1,519,529.43,515,524.51,3557099
"178",2014-10-15,530.45,532.8,518.3,530.03,3686245,0,1,530.45,532.8,518.3,530.03,3686245
"179",2014-10-14,538.8,547.19,533.1695,537.94,2214225,0,1,538.8,547.19,533.1695,537.94,2214225
"180",2014-10-13,544.99,549.5,533.1,533.21,2511033,0,1,544.99,549.5,533.1,533.21,2511033
"181",2014-10-10,558.34,565.1299,544.05,544.49,3060217,0,1,558.34,565.1299,544.05,544.49,3060217
"182",2014-10-09,571.49,571.49,559.06,560.88,2498960,0,1,571.49,571.49,559.06,560.88,2498960
"183",2014-10-08,565.57,573.88,557.49,572.5,1979066,0,1,565.57,573.88,557.49,572.5,1979066
"184",2014-10-07,575,575.27,563.74,563.74,1902109,0,1,575,575.27,563.74,563.74,1902109
"185",2014-10-06,578.8,581,574.44,577.35,1209295,0,1,578.8,581,574.44,577.35,1209295
"186",2014-10-03,572.76,577.225,572.5,575.28,1134937,0,1,572.76,577.225,572.5,575.28,1134937
"187",2014-10-02,568,571.91,563.32,570.08,1172381,0,1,568,571.91,563.32,570.08,1172381
"188",2014-10-01,576.01,577.5799,567.01,568.27,1439179,0,1,576.01,577.5799,567.01,568.27,1439179
"189",2014-09-30,576.93,579.85,572.85,577.36,1597891,0,1,576.93,579.85,572.85,577.36,1597891
"190",2014-09-29,571.75,578.19,571.17,576.36,1273110,0,1,571.75,578.19,571.17,576.36,1273110
"191",2014-09-26,576.06,579.25,574.66,577.1,1431545,0,1,576.06,579.25,574.66,577.1,1431545
"192",2014-09-25,587.38,587.98,574.18,575.06,1915872,0,1,587.38,587.98,574.18,575.06,1915872
"193",2014-09-24,581.46,589.63,580.52,587.99,1721373,0,1,581.46,589.63,580.52,587.99,1721373
"194",2014-09-23,586.85,586.85,581,581.13,1460311,0,1,586.85,586.85,581,581.13,1460311
"195",2014-09-22,593.79,593.949,583.46,587.37,1683914,0,1,593.79,593.949,583.46,587.37,1683914
"196",2014-09-19,591.63,596.48,589.5,596.08,3712845,0,1,591.63,596.48,589.5,596.08,3712845
"197",2014-09-18,587.3,589.54,585,589.27,1434188,0,1,587.3,589.54,585,589.27,1434188
"198",2014-09-17,580.01,587.5199,578.775,584.77,1683192,0,1,580.01,587.5199,578.775,584.77,1683192
"199",2014-09-16,573.71,581.5,572.66,579.95,1468818,0,1,573.71,581.5,572.66,579.95,1468818
"200",2014-09-15,573.43,574.95,568.21,573.1,1589551,0,1,573.43,574.95,568.21,573.1,1589551
"201",2014-09-12,581,581.64,574.46,575.62,1415568,0,1,581,581.64,574.46,575.62,1415568
"202",2014-09-11,580.36,581.81,576.26,581.35,1215357,0,1,580.36,581.81,576.26,581.35,1215357
"203",2014-09-10,581.5,583.5,576.94,583.1,971304,0,1,581.5,583.5,576.94,583.1,971304
"204",2014-09-09,588.2,589,580,581.01,1271042,0,1,588.2,589,580,581.01,1271042
"205",2014-09-08,586.3,591.77,586.3,589.72,1425680,0,1,586.3,591.77,586.3,589.72,1425680
"206",2014-09-05,583.95,586.55,581.95,586.08,1616530,0,1,583.95,586.55,581.95,586.08,1616530
"207",2014-09-04,580.2,586,579.22,581.98,1445916,0,1,580.2,586,579.22,581.98,1445916
"208",2014-09-03,580,582.99,575,577.94,1210575,0,1,580,582.99,575,577.94,1210575
"209",2014-09-02,571.19,577.83,571.19,577.33,1573315,0,1,571.19,577.83,571.19,577.33,1573315
"210",2014-08-29,570.69,572.04,567.0692,571.6,1075503,0,1,570.69,572.04,567.0692,571.6,1075503
"211",2014-08-28,569.56,573.25,567.1,569.2,1288808,0,1,569.56,573.25,567.1,569.2,1288808
"212",2014-08-27,577.27,578.49,570.103,571,1694711,0,1,577.27,578.49,570.103,571,1694711
"213",2014-08-26,581.39,581.8,576.58,577.86,1624717,0,1,581.39,581.8,576.58,577.86,1624717
"214",2014-08-25,584.72,585,579,580.2,1357663,0,1,584.72,585,579,580.2,1357663
"215",2014-08-22,583.59,585.236,580.64,582.56,783995,0,1,583.59,585.236,580.64,582.56,783995
"216",2014-08-21,583.74,584.5,581.14,583.37,910434,0,1,583.74,584.5,581.14,583.37,910434
"217",2014-08-20,585.88,586.7,582.57,584.49,1009825,0,1,585.88,586.7,582.57,584.49,1009825
"218",2014-08-19,585,587.34,584,586.86,975948,0,1,585,587.34,584,586.86,975948
"219",2014-08-18,576.11,584.51,576,582.16,1280214,0,1,576.11,584.51,576,582.16,1280214
"220",2014-08-15,577.86,579.38,570.52,573.48,1514966,0,1,577.86,579.38,570.52,573.48,1514966
"221",2014-08-14,576.18,577.9,570.88,574.65,982814,0,1,576.18,577.9,570.88,574.65,982814
"222",2014-08-13,567.31,575,565.75,574.78,1431916,0,1,567.31,575,565.75,574.78,1431916
"223",2014-08-12,564.52,565.9,560.88,562.73,1532977,0,1,564.52,565.9,560.88,562.73,1532977
"224",2014-08-11,569.99,570.49,566,567.88,1210695,0,1,569.99,570.49,566,567.88,1210695
"225",2014-08-08,564,570.25,560.35,568.77,1489379,0,1,564,570.25,560.35,568.77,1489379
"226",2014-08-07,568,569.89,561.1,563.36,1105261,0,1,568,569.89,561.1,563.36,1105261
"227",2014-08-06,561.78,570.7,560,566.374,1323775,0,1,561.78,570.7,560,566.374,1323775
"228",2014-08-05,571.08,571.98,562.61,565.07,1548062,0,1,571.08,571.98,562.61,565.07,1548062
"229",2014-08-04,569.09,575.35,564.1,573.15,1410594,0,1,569.09,575.35,564.1,573.15,1410594
"230",2014-08-01,570.9,575.9599,562.85,566.07,1935155,0,1,570.9,575.9599,562.85,566.07,1935155
"231",2014-07-31,580.6,583.6499,570,571.6,2085138,0,1,580.6,583.6499,570,571.6,2085138
"232",2014-07-30,586.55,589.5,584,587.42,1012123,0,1,586.55,589.5,584,587.42,1012123
"233",2014-07-29,588.75,589.7,583.515,585.61,1342649,0,1,588.75,589.7,583.515,585.61,1342649
"234",2014-07-28,588.07,592.5,584.7533,590.6,979221,0,1,588.07,592.5,584.7533,590.6,979221
"235",2014-07-25,590.4,591.86,587.03,589.02,927080,0,1,590.4,591.86,587.03,589.02,927080
"236",2014-07-24,596.45,599.5,591.77,593.35,1031060,0,1,596.45,599.5,591.77,593.35,1031060
"237",2014-07-23,593.23,597.85,592.5,595.98,1229365,0,1,593.23,597.85,592.5,595.98,1229365
"238",2014-07-22,590.87,599.65,590.6,594.74,1690093,0,1,590.87,599.65,590.6,594.74,1690093
"239",2014-07-21,591.75,594.4,585.2326,589.47,2054736,0,1,591.75,594.4,585.2326,589.47,2054736
"240",2014-07-18,593,596.8,582,595.08,3997098,0,1,593,596.8,582,595.08,3997098
"241",2014-07-17,579.53,580.99,568.61,573.7299,2920685,0,1,579.53,580.99,568.61,573.7299,2920685
"242",2014-07-16,588,588.4,582.2,582.66,1392141,0,1,588,588.4,582.2,582.66,1392141
"243",2014-07-15,585.74,585.8045,576.56,584.78,1614158,0,1,585.74,585.8045,576.56,584.78,1614158
